id,name,trait,variants,license_class,license,first_author,journal,year
PGS000446,PRSWEB_PHECODE172.21_20001-1061_PRS-CS_MGI_20200608,Basal cell carcinoma,1111490,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000447,PRSWEB_PHECODE172.21_20001-1061_PT_MGI_20200608,Basal cell carcinoma,72,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000448,PRSWEB_PHECODE172.21_20001-1061_LASSOSUM_MGI_20200608,Basal cell carcinoma,183,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000449,PRSWEB_PHECODE172.21_20001-1073_PRS-CS_MGI_20200608,Basal cell carcinoma,1073162,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000450,PRSWEB_PHECODE172.21_20001-1073_PT_MGI_20200608,Basal cell carcinoma,8,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000451,PRSWEB_PHECODE172.21_20001-1073_LASSOSUM_MGI_20200608,Basal cell carcinoma,2231,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000452,PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_MGI_20200608,Basal cell carcinoma,28,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000453,PRSWEB_PHECODE172.21_BCC-Chahal_P_5e-08_UKB_20200608,Basal cell carcinoma,28,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000454,PRSWEB_PHECODE172.21_BCC-Chahal_PT_MGI_20200608,Basal cell carcinoma,27,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000455,PRSWEB_PHECODE172.21_BCC-Chahal_PT_UKB_20200608,Basal cell carcinoma,28,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000456,PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_MGI_20200608,Basal cell carcinoma,30,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000457,PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_P_5e-08_UKB_20200608,Basal cell carcinoma,30,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000458,PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_PT_MGI_20200608,Basal cell carcinoma,23,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000459,PRSWEB_PHECODE172.21_GWAS-Catalog-r2019-05-03-X172.21_PT_UKB_20200608,Basal cell carcinoma,24,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000460,PRSWEB_PHECODE172.22_20001-1062_LASSOSUM_MGI_20200608,Squamous cell carcinoma,4279140,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000461,PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_P_5e-08_MGI_20200608,Squamous cell carcinoma,13,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000462,PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_P_5e-08_UKB_20200608,Squamous cell carcinoma,13,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000463,PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_PT_MGI_20200608,Squamous cell carcinoma,7,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000464,PRSWEB_PHECODE172.22_GWAS-Catalog-r2019-05-03-X172.22_PT_UKB_20200608,Squamous cell carcinoma,14,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000465,PRSWEB_PHECODE172.22_cSCC-Chahal_P_5e-08_MGI_20200608,Squamous cell carcinoma,10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000466,PRSWEB_PHECODE172.22_cSCC-Chahal_P_5e-08_UKB_20200608,Squamous cell carcinoma,10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000467,PRSWEB_PHECODE172.22_cSCC-Chahal_PT_MGI_20200608,Squamous cell carcinoma,6,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000468,PRSWEB_PHECODE172.22_cSCC-Chahal_PT_UKB_20200608,Squamous cell carcinoma,9,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000469,PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_PRS-CS_MGI_20200608,Carcinoma in situ of skin,1119238,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000470,PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_PT_MGI_20200608,Carcinoma in situ of skin,5,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000471,PRSWEB_PHECODE172.3_UKBB-SAIGE-HRC-X172.3_LASSOSUM_MGI_20200608,Carcinoma in situ of skin,7,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000472,PRSWEB_PHECODE174.1_20001-1002_P_5e-08_MGI_20200608,Breast cancer (female),22,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000473,PRSWEB_PHECODE174.1_20001-1002_PRS-CS_MGI_20200608,Breast cancer (female),1111495,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000474,PRSWEB_PHECODE174.1_20001-1002_PT_MGI_20200608,Breast cancer (female),68,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000475,PRSWEB_PHECODE174.1_20001-1002_LASSOSUM_MGI_20200608,Breast cancer (female),30041,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000476,PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-08_MGI_20200608,Breast cancer (female),32,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000477,PRSWEB_PHECODE174.1_C3-BREAST-3_PRS-CS_MGI_20200608,Breast cancer (female),1111495,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000478,PRSWEB_PHECODE174.1_C3-BREAST-3_PT_MGI_20200608,Breast cancer (female),120,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000479,PRSWEB_PHECODE174.1_C3-BREAST-3_LASSOSUM_MGI_20200608,Breast cancer (female),2267,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000480,PRSWEB_PHECODE174.1_C50_P_5e-08_MGI_20200608,Breast cancer (female),20,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000481,PRSWEB_PHECODE174.1_C50_PRS-CS_MGI_20200608,Breast cancer (female),1111495,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000482,PRSWEB_PHECODE174.1_C50_PT_MGI_20200608,Breast cancer (female),42,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000483,PRSWEB_PHECODE174.1_C50_LASSOSUM_MGI_20200608,Breast cancer (female),4047,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000484,PRSWEB_PHECODE174.1_D05_PT_MGI_20200608,Breast cancer (female),25,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000485,PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_MGI_20200608,Breast cancer (female),62,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000486,PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_UKB_20200608,Breast cancer (female),86,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000487,PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_MGI_20200608,Breast cancer (female),62,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000488,PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_UKB_20200608,Breast cancer (female),79,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000489,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608,Breast cancer (female),49,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000490,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_UKB_20200608,Breast cancer (female),49,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000491,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608,Breast cancer (female),1119140,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000492,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PRS-CS_UKB_20200608,Breast cancer (female),1120410,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000493,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PT_MGI_20200608,Breast cancer (female),217,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000494,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PT_UKB_20200608,Breast cancer (female),49,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000495,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608,Breast cancer (female),18866,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000496,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_LASSOSUM_UKB_20200608,Breast cancer (female),41744,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000497,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608,Breast cancer (female),257,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000498,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-08_UKB_20200608,Breast cancer (female),257,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000499,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PRS-CS_MGI_20200608,Breast cancer (female),1119140,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000500,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PRS-CS_UKB_20200608,Breast cancer (female),1120410,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000501,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PT_MGI_20200608,Breast cancer (female),1142,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000502,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PT_UKB_20200608,Breast cancer (female),747,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000503,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_LASSOSUM_MGI_20200608,Breast cancer (female),61635,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000504,PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_LASSOSUM_UKB_20200608,Breast cancer (female),148560,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000505,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-08_MGI_20200608,Breast cancer (female),334,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000506,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-08_UKB_20200608,Breast cancer (female),334,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000507,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PRS-CS_MGI_20200608,Breast cancer (female),1119140,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000508,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PRS-CS_UKB_20200608,Breast cancer (female),1120410,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000509,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PT_MGI_20200608,Breast cancer (female),3038,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000510,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PT_UKB_20200608,Breast cancer (female),1682,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000511,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_LASSOSUM_MGI_20200608,Breast cancer (female),118388,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000512,PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_LASSOSUM_UKB_20200608,Breast cancer (female),286144,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000513,PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-08_MGI_20200608,Breast cancer (female),41,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000514,PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PRS-CS_MGI_20200608,Breast cancer (female),1119237,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000515,PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PT_MGI_20200608,Breast cancer (female),84,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000516,PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_LASSOSUM_MGI_20200608,Breast cancer (female),6977,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000517,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608,Breast cancer (female),10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000518,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-08_UKB_20200608,Breast cancer (female),10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000519,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608,Breast cancer (female),1115376,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000520,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PRS-CS_UKB_20200608,Breast cancer (female),1116435,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000521,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PT_MGI_20200608,Breast cancer (female),9,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000522,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PT_UKB_20200608,Breast cancer (female),14,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000523,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608,Breast cancer (female),270,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000524,PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_LASSOSUM_UKB_20200608,Breast cancer (female),2708,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000525,PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608,Breast cancer (female),86,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
PGS000526,PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-08_UKB_20200608,Breast cancer (female),86,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Fritsche LG,Am J Hum Genet,2020
